,tweet_id,favorite_count,retweet_count
2186,666407126856765440,98,32
2187,666396247373291520,156,73
2188,666373753744588802,171,80
2189,666362758909284353,715,509
2190,666353288456101888,195,64
2191,666345417576210432,272,128
2192,666337882303524864,180,82
2193,666293911632134144,459,314
2194,666287406224695296,134,59
2195,666273097616637952,159,70
2196,666268910803644416,95,32
2197,666104133288665088,13469,5896
2198,666102155909144576,70,11
2199,666099513787052032,142,58
2200,666094000022159362,153,66
2201,666082916733198337,102,41
2202,666073100786774016,291,143
2203,666071193221509120,135,52
2204,666063827256086533,444,195
2205,666058600524156928,105,52
2206,666057090499244032,266,123
2207,666055525042405380,407,217
2208,666051853826850816,1112,762
2209,666050758794694657,124,51
2210,666049248165822465,96,40
2211,666044226329800704,266,129
2212,666033412701032449,111,41
2213,666029285002620928,120,42
2214,666020888022790149,2383,458
